vote res
today i res 12017.310715, batch res 1182.010685
today i res 12181.201203, batch res 1183.407285
today i res 12675.505440, batch res 847.301931
today i res 11100.188817, batch res 991.585924
today i res 17912.088481, batch res 1913.734771
today i res 12529.734366, batch res 1395.362775
today i res 13515.316073, batch res 1276.473129
today i res 11818.657616, batch res 1265.434457
today i res 13224.706841, batch res 1485.804183
today i res 11380.923215, batch res 1196.425713
vote res
today i res 11785.026913, batch res 1182.010685
today i res 11128.835231, batch res 1183.407285
today i res 12439.429250, batch res 847.301931
today i res 10855.802995, batch res 1121.343636
today i res 11100.188817, batch res 991.585924
today i res 15147.871622, batch res 1913.734771
today i res 11535.801704, batch res 1276.473129
today i res 10629.284829, batch res 1015.000798
today i res 13135.792870, batch res 1485.804183
today i res 10804.098096, batch res 1068.028941
vote res
today i res 10629.284829, batch res 1015.000798
today i res 10952.448357, batch res 991.585924
today i res 10655.161357, batch res 1068.028941
today i res 10706.268117, batch res 1121.343636
today i res 10576.979816, batch res 1142.760586
today i res 11477.845641, batch res 1182.010685
today i res 12292.885069, batch res 847.301931
today i res 12650.625650, batch res 1913.734771
today i res 13005.494621, batch res 1485.804183
today i res 10405.716919, batch res 1041.682237
vote res
today i res 12292.885069, batch res 847.301931
today i res 10800.002823, batch res 1913.734771
today i res 10518.281773, batch res 1068.028941
today i res 10568.836600, batch res 1121.343636
today i res 10576.979816, batch res 1142.760586
today i res 10817.776509, batch res 991.585924
today i res 10629.284829, batch res 1015.000798
today i res 11477.845641, batch res 1182.010685
today i res 13005.494621, batch res 1485.804183
today i res 10405.716919, batch res 1041.682237
vote res
today i res 10629.284829, batch res 1015.000798
today i res 10518.281773, batch res 1068.028941
today i res 10800.002823, batch res 1913.734771
today i res 10568.836600, batch res 1121.343636
today i res 12292.885069, batch res 847.301931
today i res 11477.845641, batch res 1182.010685
today i res 9965.246052, batch res 1071.942741
today i res 10817.776509, batch res 991.585924
today i res 10705.896169, batch res 1485.804183
today i res 10405.716919, batch res 1041.682237
vote res
today i res 9569.448214, batch res 1015.000798
today i res 10518.281773, batch res 1068.028941
today i res 10817.776509, batch res 991.585924
today i res 10568.836600, batch res 1121.343636
today i res 11225.449482, batch res 847.301931
today i res 10434.155068, batch res 1182.010685
today i res 9965.246052, batch res 1071.942741
today i res 10705.896169, batch res 1485.804183
today i res 10800.002823, batch res 1913.734771
today i res 9568.199911, batch res 1117.751969
vote res
today i res 9569.448214, batch res 1015.000798
today i res 11225.449482, batch res 847.301931
today i res 10705.896169, batch res 1485.804183
today i res 10431.405082, batch res 1121.343636
today i res 10683.104661, batch res 991.585924
today i res 10381.402190, batch res 1068.028941
today i res 9831.126137, batch res 1071.942741
today i res 10434.155068, batch res 1182.010685
today i res 9477.087986, batch res 1106.856162
today i res 9568.199911, batch res 1117.751969
vote res
today i res 10683.104661, batch res 991.585924
today i res 9831.126137, batch res 1071.942741
today i res 10381.402190, batch res 1068.028941
today i res 10431.405082, batch res 1121.343636
today i res 9569.448214, batch res 1015.000798
today i res 10434.155068, batch res 1182.010685
today i res 8894.258842, batch res 846.694349
today i res 11225.449482, batch res 847.301931
today i res 8759.814799, batch res 1485.804183
today i res 9354.427374, batch res 1041.682237
vote res
today i res 8709.211989, batch res 1913.734771
today i res 8759.814799, batch res 1485.804183
today i res 9131.457498, batch res 847.301931
today i res 10431.405082, batch res 1121.343636
today i res 8411.018009, batch res 1166.364198
today i res 10381.402190, batch res 1068.028941
today i res 8527.216418, batch res 1117.751969
today i res 8662.867668, batch res 1071.942741
today i res 10683.104661, batch res 991.585924
today i res 8445.462708, batch res 1106.856162
vote res
today i res 8383.972547, batch res 1182.010685
today i res 8709.211989, batch res 1913.734771
today i res 7484.468715, batch res 1015.000798
today i res 8411.018009, batch res 1166.364198
today i res 7814.576195, batch res 952.143460
today i res 7585.389436, batch res 1142.760586
today i res 8759.814799, batch res 1485.804183
today i res 8445.462708, batch res 1106.856162
today i res 8527.216418, batch res 1117.751969
today i res 7294.448199, batch res 1041.682237
vote res
today i res 7289.226194, batch res 1015.000798
today i res 7176.738594, batch res 838.950329
today i res 7814.576195, batch res 952.143460
today i res 8411.018009, batch res 1166.364198
today i res 7267.673369, batch res 990.060255
today i res 8445.462708, batch res 1106.856162
today i res 8759.814799, batch res 1485.804183
today i res 8527.216418, batch res 1117.751969
today i res 7585.389436, batch res 1142.760586
today i res 7098.415223, batch res 1041.682237
vote res
today i res 7289.226194, batch res 1015.000798
today i res 6838.023464, batch res 838.950329
today i res 6689.155077, batch res 991.585924
today i res 7087.100394, batch res 1117.751969
today i res 7559.248907, batch res 952.143460
today i res 7016.878451, batch res 1106.856162
today i res 7042.825363, batch res 1182.010685
today i res 6988.199637, batch res 1166.364198
today i res 7325.464659, batch res 1485.804183
today i res 7098.415223, batch res 1041.682237
vote res
today i res 6441.892522, batch res 1068.028941
today i res 7289.226194, batch res 1015.000798
today i res 6183.126783, batch res 847.301931
today i res 6469.185870, batch res 1121.343636
today i res 6096.208004, batch res 990.060255
today i res 6233.398667, batch res 1913.734771
today i res 6689.155077, batch res 991.585924
today i res 7042.854582, batch res 952.143460
today i res 7042.825363, batch res 1182.010685
today i res 7098.415223, batch res 1041.682237
vote res
today i res 6689.155077, batch res 991.585924
today i res 7042.854582, batch res 952.143460
today i res 5751.269776, batch res 1485.804183
today i res 6469.185870, batch res 1121.343636
today i res 5717.509896, batch res 1106.856162
today i res 5804.730143, batch res 838.950329
today i res 6441.892522, batch res 1068.028941
today i res 6096.208004, batch res 990.060255
today i res 5694.097541, batch res 1166.364198
today i res 5776.075081, batch res 1117.751969
vote res
today i res 6689.155077, batch res 991.585924
today i res 6441.892522, batch res 1068.028941
today i res 5694.097541, batch res 1166.364198
today i res 6469.185870, batch res 1121.343636
today i res 5498.850235, batch res 1015.000798
today i res 5804.730143, batch res 838.950329
today i res 5751.269776, batch res 1485.804183
today i res 5404.377467, batch res 1913.734771
today i res 5717.509896, batch res 1106.856162
today i res 5776.075081, batch res 1117.751969
vote res
today i res 5804.730143, batch res 838.950329
today i res 5018.047634, batch res 1182.010685
today i res 5751.269776, batch res 1485.804183
today i res 5301.258580, batch res 537.136364
today i res 5284.503039, batch res 713.192824
today i res 5717.509896, batch res 1106.856162
today i res 5143.870011, batch res 952.143460
today i res 5404.377467, batch res 1913.734771
